"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"988b2f25-cc26-4792-b319-5b31ee9f6e69","Patras","char-offset:342095","PLACE","http://pleiades.stoa.org/places/484001","Patras","","","unlocated","UNVERIFIED","",""
"264d45b8-aee0-4dff-95fa-76a1c12ebc81","Antioch","char-offset:342292","PLACE","http://sws.geonames.org/5324200","Antioch","38.00492","-121.80579","","UNVERIFIED","",""
"3b618f6f-135b-4e33-8422-80b2a52f9faf","Africa","char-offset:343008","PLACE","http://sws.geonames.org/6255146","Africa","6.42577000602419","18.274639053061836","","UNVERIFIED","",""
"40b2c0da-e6c0-46aa-9aae-fbcb2a2c8b61","Africa","char-offset:343126","PLACE","http://sws.geonames.org/6255146","Africa","6.42577000602419","18.274639053061836","","UNVERIFIED","",""
"8280db1b-a2a6-4b85-9d8b-38c8c108a42f","Greece","char-offset:343374","PLACE","http://sws.geonames.org/390903","Greece","39.04697922405934","22.97947876378841","","UNVERIFIED","",""
"6157a814-701c-4eac-ab09-561b2d5f3c82","Philippi","char-offset:343707","PLACE","http://pleiades.stoa.org/places/501482","Krenides/Philippi/Col. Augusta Iulia Philippensis|Philippi/Krenides/Col. Augusta Iulia Philippensis, Krenides","41.01316","24.28409","theatre,settlement","UNVERIFIED","",""
"b12d724b-8d01-4a3d-88cd-ab7c122234ab","Elbe","char-offset:343817","PLACE","http://pleiades.stoa.org/places/98909","Albis fl.|Albis, Elbe","53.893333","8.705556","river","UNVERIFIED","",""
"ea060a36-8a15-4af4-bd7d-02b3a692b7a8","Rhine","char-offset:343941","PLACE","http://pleiades.stoa.org/places/109277","Rhenus (river)|Rhenus, Rhein","51.981667","4.080556","river","UNVERIFIED","",""
"56ae54e5-d2ef-496f-ace9-aeac2396d970","Syracuse","char-offset:344166","PLACE","http://sws.geonames.org/5140405","Syracuse","43.04812","-76.14742","","UNVERIFIED","",""
"3a91c656-5bc6-45c8-91d1-c4b3a555dd8f","Syracuse","char-offset:344289","PLACE","http://sws.geonames.org/5140405","Syracuse","43.04812","-76.14742","","UNVERIFIED","",""
"dbdfdf79-127b-4a29-b31b-4fbb0a0a1d61","Prussia","char-offset:344599","PLACE","http://sws.geonames.org/5196220","King of Prussia","40.08927","-75.39602","","UNVERIFIED","",""
